Combination,# Total used,# Children used,# Adults used,# Total found,# Children found,# Adults found,Total used (%),Children used (%),Adults used (%),Difference,Ratio Children:Adults used(%),Fisher's Exact Test,p-Value,Success
hourglass + electricity,1,0,1,2,1,1,50,0,100,100,0:100,0.0,1.0,False
glass + rain,1,0,1,12,6,6,8,0,17,17,0:100,0.0,1.0,False
stone + glass,1,0,1,12,6,6,8,0,17,17,0:100,0.0,1.0,False
light + hourglass,1,0,1,1,0,1,100,0,100,100,0:100,nan,1.0,False
glasses + light,1,0,1,1,0,1,100,0,100,100,0:100,nan,1.0,False
rust + blender,1,0,1,2,0,2,50,0,50,50,0:100,nan,1.0,False
light + stone,1,0,1,1,0,1,100,0,100,100,0:100,nan,1.0,False
light + metal,1,0,1,1,0,1,100,0,100,100,0:100,nan,1.0,False
light + light bulb,1,0,1,1,0,1,100,0,100,100,0:100,nan,1.0,False
light bulb + earth,1,0,1,2,1,1,50,0,100,100,0:100,0.0,1.0,False
light bulb + aquarium,1,0,1,2,1,1,50,0,100,100,0:100,0.0,1.0,False
sea + light,1,0,1,1,0,1,100,0,100,100,0:100,nan,1.0,True
storm + ash,1,0,1,7,4,3,14,0,33,33,0:100,0.0,0.43,False
explosion + storm,1,0,1,8,6,2,12,0,50,50,0:100,0.0,0.25,False
storm + gunpowder,1,0,1,9,6,3,11,0,33,33,0:100,0.0,0.33,False
rain + explosion,1,0,1,30,21,9,3,0,11,11,0:100,0.0,0.3,False
